cba	Grievance Procedure	Gender Equality	Sexual Harrassment	Discrimination	Composite Equality
contrato-colectivo-de-trabajo-entre-la-municipalidad-de-choluteca-y-el-sindicato-de-trabajadores-de-la-municipalidad-de-choluteca-sitraemuch-2014-2016	1.0	1.0	1.0	2.0	1.17
contrato-colectivo-de-trabajo-entre-la-empresa-star-s-a-y-el-sindicato-de-trabajadores-sitrastar-2016-2017	1.8	1.0	1.0	2.0	1.41
contrato-colectivo-de-trabajo-entre-la-empresa-pinehurst-manufacturing-hnd-gmbh-y-el-sindicato-de-trabajadores-de-la-empresa-pinehurst-manufacturing-hnd-gmbh-sitrapinehurst-2015-2017	1.8	1.0	1.0	2.0	1.41
contrato-colectivo-de-trabajo-2016---2018	1.0	1.0	1.0	2.0	1.17
decima-segunda-convencion-colectiva-de-trabajo-celebrada-entre-empitalito-e-s-p-y-el-sindicato-de-trabajadores-oficiales-de-la-misma-para-la-vigencia-de-los-anos-2012-2013-2014-y-2015	1.0	1.89	1.0	1.0	1.14
convenci-n-colectiva-de-trabajo-entre-la-empresa-de-acueducto-y-alcantarillado-de-bogota--esp-eaab-esp-y-el-sindicato-de-trabajadores-y-empleados-de-servicios-p-blicos-corporaciones-aut-nomas-institutos-descentralizados-y-territoriales-de-colombia-sintraemsdes-2012---2014	1.0	1.0	1.0	2.0	1.17
kesepakatan-kerja-bersama-untuk-sheraton-media-hotel-and-towers	1.0	2.78	5.0	2.0	2.93
pt-ching-luh-indonesia	1.0	2.33	5.0	2.0	2.79
perjanjian-kerja-bersama-antara-pt-bank-nasional-indonesia-dengan-serikat-pekerja-pt-bank-nasional-indonesia	1.0	2.78	5.0	2.0	2.93
perjanjian-kerja-bersama-antara-pt-kemang-food-industries-dengan-pk-federasi-serikat-buruh-kamiparho-ksbsi-pt-kemang-food-industries	1.0	2.78	1.0	2.0	1.71
perjanjian-kerja-bersama-antara-manajemen-lumire-hotel-dan-convention-centre-dengan-pk-fsb-kamiparho-ksbsi-lumire-hotel-	1.0	2.78	5.0	2.0	2.93
perjanjian-kerja-bersama-antara-pt-indonesia-pondasi-raya-dengan-pk-fkui-ksbsi-pt-indonesia-pondasi-raya	1.0	1.0	1.0	2.0	1.17
perjanjian-kerja-bersama-antara-pt-misung-indonesia-dengan-serikat-pekerja-nasional-pt-misung-indonesia	1.0	2.78	1.0	2.0	1.71
perjanjian-kerja-bersama-antara-pt-jatim-autocomp-indonesia-dengan-puk-spamk-fspmi-pt-jatim-autocomp-indonesia	1.0	1.89	1.0	1.0	1.14
perjanjian-kerja-bersama-antara-pt-pudjiadi-and-sons-tbk-dengan-sp-the-jayakarta-jakarta-hotel-spa-sp-paras-indonesia	1.0	2.78	1.0	2.0	1.71
perjanjian-kerja-bersama-antara-pt-shangrahadhika-hotel-redtop-jakarta-dengan-sp-hotel-redtop-jakarta-sp-paras-indonesia	1.0	2.78	5.0	2.0	2.93
perjanjian-kerja-bersama-antara-pt-shimatama-graha-dengan-sp-shima-japanese-restaurant-spa-fsp-paras-indonesia	1.0	2.78	5.0	2.0	2.93
perjanjian-kerja-bersama-antara-pt-first-marine-seafoods-dengan-pk-fsb-kamiparho-ksbsi-pt-first-marine-seafoods-	1.0	2.78	5.0	1.0	2.62
perjanjian-kerja-bersama-antara-terminal-petikemas-koja-dengan-sp-tpk-koja	1.0	2.33	5.0	1.0	2.49
perjanjian-kerja-bersama-antara-pt-kaho-indah-citra-garment-dengan-spn-pt-kaho-indah-citra-garment-	1.0	2.33	1.0	2.0	1.57
perjanjian-kerja-bersama-antara-pt-medika-apparelindo-dengan-spn-pt-medika-apparelindo	1.0	2.33	1.0	2.0	1.57
perjanjian-kerja-bersama-antara-pt-akebono-brake-astra-indonesia-dengan-sp-lem-spsi-pt-aaij	1.0	2.78	1.0	2.0	1.71
perjanjian-kerja-bersama-antara-pt-alcarindo-prima-dengan-sp-lem-spsi-pt-alcarindo-prima-	1.0	2.33	5.0	2.0	2.79
perjanjian-kerja-bersama-antara-igp-group-dengan-sp-lem-spsi-igp-group-	1.0	2.33	1.0	2.0	1.57
perjanjian-kerja-bersama-antara-pt-indonesia-raya-dengan-spsi-unit-kerja-pabrik-lampu-indonesia-raya-	1.0	2.33	5.0	2.0	2.79
perjanjian-kerja-bersama-antara-pt-jict-dengan-serikat-pekerja-pt-jict	1.0	2.33	5.0	2.0	2.79
perjanjian-kerja-bersama-antara-pt-molax-internasional-dengan-serikat-pekerja-pt-molax-internasional	1.0	2.33	5.0	2.0	2.79
perjanjian-kerja-bersama-antara-pt-sunter-inti-megah-dengan-sp-lem-spsi-pt-sunter-inti-megah	1.0	1.89	1.0	2.0	1.44
perjanjian-kerja-bersama-antara-pt-multi-terminal-indonesia-dengan-sp-pt-multi-terminal-indonesia	1.0	2.33	1.0	2.0	1.57
perjanjian-kerja-bersama-antara-pt-brs-si-dengan-sblm-pt-brs-si	1.0	2.33	1.0	2.0	1.57
perjanjian-kerja-bersama-antara-pt-poli-contindo-nusa-dengan-sptp-poli-contindo-nusa	1.0	1.44	1.0	2.0	1.3
perjanjian-kerja-bersama-antara-pt-selamat-sempurna-tbk-dengan-spsi-unit-kerja-pt-selamat-sempurna-tbk-	1.0	2.33	1.0	2.0	1.57
perjanjian-kerja-bersama-antara-pt-nusa-halmahera-minerals-dengan-spsi-pt-nusa-halmahera-minerals	1.0	2.33	1.0	2.0	1.57
perjanjian-kerja-bersama-antara-pt-angkasa-raya-djambi-dengan-unit-kerja-pk-federasi-hukatan-sbsi	1.0	2.78	5.0	1.0	2.62
perjanjian-kerja-bersama-antara-pt-hok-tong-jambi-dengan-pk-sbsi-pt-hok-tong-jambi	1.0	2.78	1.0	1.0	1.41
perjanjian-kerja-bersama-antara-pt-gardatama-nusantara-dengan-pk-sbsi-pt-gardatama-nusantara	1.0	2.33	5.0	2.0	2.79
perjanjian-kerja-bersama-antara-pt-kaltim-prima-coal-dengan-korppra-sp-kep-dan-spk	1.0	1.44	1.0	2.0	1.3
perjanjian-kerja-bersama-antara-pt-tirta-varia-inti-pratama-dengan-fsb-hukatan-sbsi-pt-tirta-varia-inti-pratama	1.0	2.33	1.0	1.0	1.27
perjanjian-kerja-bersama-antara-pt-lontar-papyrus-pulp-paper-industry-lpppi-dengan-spd-pt-lpppi	1.0	2.33	1.0	2.0	1.57
perjanjian-kerja-bersama-antara-pt-vale-indonesia-tbk-dengan-fsp-kep-pt-vale-indonesia-tbk	1.0	1.89	1.0	2.0	1.44
perjanjian-kerja-bersama-antara-pt-wachyuni-mandira-dengan-puk-sp-pk-spsi-pt-wachyuni-mandira	1.0	2.78	1.0	2.0	1.71
perjanjian-kerja-bersama-antara-pt-pelangi-nusa-gemilang-dengan-pk-serikat-buruh-nikeuba-sbsi-	1.0	2.33	1.0	1.0	1.27
perjanjian-kerja-bersama-antara-pt-pp-london-sumatra-indonesia-tbk-wilayah-kalimantan-timur-dengan-dpc-f-hukatan-sbsi-kabupaten-kutai-barat	1.0	2.78	1.0	2.0	1.71
perjanjian-kerja-bersama-antara-cv-makmur-abadi-dengan-pk-serikat-buruh-nikeuba-sbsi-cv-makmur-abadi-sorong	1.0	2.33	1.0	1.0	1.27
perjanjian-kerja-bersama-antara-pt-rezeki-surya-inti-makmur-dengan-federasi-pertambangan-dan-energi-sbsi	1.0	2.33	1.0	2.0	1.57
perjanjian-kerja-bersama-antara-pt-sumatra-tobacco-trading-company-dengan-puk-fsp-rtmm-spsi-pk-f-kamiparho-sbsi-dan-sp-iptm-	1.0	2.78	1.0	1.0	1.41
perjanjian-kerja-bersama-antara-pt-tanito-harum-dengan-fpe-sbsi	1.0	2.78	1.0	1.0	1.41
perjanjian-kerja-bersama-antara-pt-djuanda-sawit-lestari-dengan-fpe-sbsi	1.0	2.78	1.0	3.0	2.01
perjanjian-kerja-bersama-antara-pt-gunungbayan-pratamacoal-dengan-sbsi-pt-gunung-bayan-pratamacoal	1.0	2.33	5.0	1.0	2.49
perjanjian-kerja-bersama-antara-pt-indonesia-stanley-electric-dengan-puk-spsi-pt-indonesia-stanley-electric	1.0	2.78	1.0	2.0	1.71
perjanjian-kerja-bersama-antara-pt-elang-perdana-tyre-industry-dengan-serikat-buruh-f---lomenik-sbsi-pt-elang-perdana-tyre-industry	1.0	2.33	1.0	1.0	1.27
perjanjian-kerja-bersama-antara-pt-kabelindo-murni-tbk-dengan-puk-fsp-lem-spsi-pt-kabelindo-murni-tbk	1.0	2.78	1.0	2.0	1.71
perjanjian-kerja-bersama-pt-bara-jaya-utama-dengan-pk-serikat-buruh-sejahtera-indonesia-teluk-bayur-kabupaten-berau	1.0	2.33	5.0	3.0	3.09
perjanjian-kerja-bersama-antara-pt-indonesia-wacoal-dengan-sp-garteks-dan-sp-lomenik-pt-indonesia-wacoal	1.0	2.33	1.0	1.0	1.27
perjanjian-kerja-bersama-perhimpunan-st-carolus-dengan-fsp-farkes-refomasi-puk-st-carolus-dan-sp-ikarkes-sc	1.0	2.33	1.0	2.0	1.57
perjanjian-kerja-bersama-antara-pt-wongso-pawiro-dengan-puk---sp---rtmm--fspsi-dan-pk---kamiparho---sbsi-dan-sp---iptm	1.0	2.78	1.0	1.0	1.41
perjanjian-kerja-bersama-antara-pt-basuki-pratama-engineering-dengan-puk-serikat-pekerja-lem-spsi-pt-basuki-pratama-engineering	1.0	2.78	1.0	2.0	1.71
perjanjian-kerja-bersama-antara-pt-century-batteries-indonesia-dengan-serikat-pekerja-kimia-energi-pertambangan-minyak-gas-bumi-dan-umum-pt-century-batteries-indonesia	1.0	2.78	1.0	2.0	1.71
perjanjian-kerja-bersama-antara-pt-buanagraha-arthaprima-dengan-ikajihd-unit-pt-buanagraha-arthaprima	1.0	2.78	1.0	2.0	1.71
perjanjian-kerja-bersama-antara-pt-pacific-removindo-dengan-serikat-pekerja-tingkat-perusahaan-pt-pacific-removindo	1.0	1.44	1.0	1.0	1.0
perjanjian-kerja-bersama-antara-pt-supernova-dengan-serikat-pekerja-pt-supernova	1.0	1.89	1.0	2.0	1.44
perjanjian-kerja-bersama-antara-cv-imco-dengan-pengurus-basis-gerakan-buruh-percetakan-penerbitan-periklanan-sarbumusi-cv-imco	1.0	2.33	1.0	1.0	1.27
perjanjian-kerja-bersama-antara-pt-wirakarya-sakti-dengan-serikat-pekerja-wiraswasta-dan-pk-federasi-serikat-buruh-hukatan	1.0	2.33	1.0	2.0	1.57
perjanjian-kerja-bersama-antara-pt-intibenua-perkasatama-dengan-pk-f-sb-kamiparho-sbsi-pt-intibenua-perkasatama	1.0	2.33	1.0	1.0	1.27
perjanjian-kerja-bersama-antara-pt-edico-utama-dengan-serikat-pekerja-seluruh-indonesia-unit-kerja-pt-edico-utama	1.0	2.33	5.0	2.0	2.79
perjanjian-kerja-bersama-antara-pt-daya-baru-agung-dengan-serikat-pekerja-tingkat-perusahaan-pt-daya-baru-agung	1.0	2.33	1.0	2.0	1.57
perjanjian-kerja-bersama-antara-pt-cocoa-ventures-indonesia-dengan-pk-sbsi-pt-cocoa-ventures-indonesia	1.0	2.33	1.0	1.0	1.27
perjanjian-kerja-bersama-wilmar-group-dumai-pelintung-dengan-anggota-sb-sp-wilmar-group-dumai-pelintung-dan-seluruh-buruh-pekerja-perusahaan-fsb-kamiparho-sbsi	1.0	2.33	5.0	1.0	2.49
perjanjian-kerja-bersama-antara-pt-dian-rakyat-dan-serikat-pekerja-seluruh-indonesia-unit-kerja-pt-dian-rakyat	1.0	2.33	1.0	2.0	1.57
perjanjian-kerja-bersama-antara-pt-indorasa-prima-abadi-dan-federasi-kamiparho-serikat-buruh-sejahtera-indonesia	1.0	1.89	1.0	2.0	1.44
perjanjian-kerja-bersama-antara-pt-sari-dumai-sejati-dengan-pk-fsb-kamiparho-ksbsi	1.0	2.78	1.0	2.0	1.71
perjanjian-kerja-bersama-antara-pt-toba-pulp-lestari-tbk-dengan-sppp-kspsi-dpk-sbi-pk-fsbsi-1992-pk-fsb-hukatan-sbsi-psp-spn-pt-toba-pulp-lestari-tbk	1.0	2.78	1.0	2.0	1.71
perjanjian-kerja-bersama-antara-pt-berlian-sistem-informasi-dengan-serikat-pekerja-unit-kerja-pt-berlian-sistem-informasi	1.0	1.89	5.0	2.0	2.66
perjanjian-kerja-bersama-antara-pt-bukit-baiduri-energi-dengan-fspkep-dan-sbsi	1.0	2.33	1.0	2.0	1.57
perjanjian-kerja-bersama-antara-pt-skf-indonesia-dengan-serikat-pekerja-automotif-mesin-dan-komponen-fspmi-pt-skf	1.0	2.33	5.0	2.0	2.79
perjanjian-kerja-bersama-antara-pt-axa-indonesia-dengan-pk-sbsi-nikeuba-pt-axa-indonesia	1.0	2.78	1.0	1.0	1.41
perjanjian-kerja-bersama-antara-pt-sarana-meditama-metropolitan-rs-omni-medical-center-dengan-sp-pt-sarana-meditama-metropolitan	1.0	2.33	1.0	2.0	1.57
perjanjian-kerja-bersama-antara-pt-asianagro-agungjaya-dengan-puk-rtmm-spsi-pt-asianagro-agung-jaya	1.0	2.33	5.0	1.0	2.49
perjanjian-kerja-bersama-antara-pt-osaga-mas-utama-dengan-psp-spn-pt-osaga-mas-utama	1.0	1.44	1.0	1.0	1.0
perjanjian-kerja-bersama-antara-pt-diametral-evolute-dengan-puk-sp-lem-fspsi-pt-diametral-involute	1.0	2.33	5.0	1.0	2.49
perjanjian-kerja-bersama-antara-pt-indonesia-acids-industry-dengan-spsi-unit-kerja-pt-indonesia-acids-industry	1.0	2.33	5.0	2.0	2.79
perjanjian-kerja-bersama-antara-pt-mandom-indonesia-tbk-dengan-puk-sp-kep-pt-mandom-indonesia-tbk	1.0	2.78	1.0	1.0	1.41
perjanjian-kerja-bersama-antara-perum-perhutani-dengan-serikat-karyawan-perum-perhutani	1.0	1.89	1.0	2.0	1.44
perjanjian-kerja-bersama-antara-pt-angkasa-pura-ii-dengan-serikat-pekerja-pt-angkasa-pura-ii	1.0	1.44	1.0	1.0	1.0
perjanjian-kerja-bersama-antara-pt-olympic-garment-international-dengan-federasi-serikat-buruh-indonesia-fsbi-	1.0	2.33	5.0	2.0	2.79
perjanjian-kerja-bersama-antara-pt-golden-castle-dengan-puk-serikat-pekerja-tekstil-sandang-dan-kulit-spsi	1.0	2.78	1.0	2.0	1.71
perjanjian-kerja-bersama-antara-pt-hua-sin-indonesia-dengan-pengurus-perwakilan-sbsi-1992-pt-hua-sin-indonesia	1.0	2.33	1.0	1.0	1.27
perjanjian-kerja-bersama-antara-pt-bayubahari-santosa-dengan-puk-sp-lem-spsi-pt-bayubahari-santosa	1.0	2.33	1.0	2.0	1.57
perjanjian-kerja-bersama-antara-pt-budi-muaratex-dengan-spn-pt-budi-muaratex	1.0	2.33	5.0	2.0	2.79
perjanjian-kerja-bersama-antara-pt-bank-lnternasional-indonesia-tbk-bii-dengan-serikat-karyawan-dan-nikeuba-sbsi-pt-bii	1.0	2.33	5.0	2.0	2.79
perjanjian-kerja-bersama-antara-pt-hisotex-dengan-spn-pt-hisotex	1.0	2.33	1.0	2.0	1.57
perjanjian-kerja-bersama-antara-pt-doosan-jaya-sukabumi-dengan-serikat-pekerja-nasional-2014---2016	1.0	2.33	5.0	3.0	3.09
perjanjian-kerja-bersama-antara-pt-universal-kharisma-garment-dengan-federasi-serikat-pekerja-seluruh-indonesia-2013---2015	1.0	1.44	5.0	1.0	2.22
perjanjian-kerja-bersama-antara-pt-doosan-sinar-sukabumi-dengan-sptp-pt-doosan-sinar-sukabumi-2014---2016	1.0	2.33	5.0	3.0	3.09
perjanjian-kerja-bersama-antara-pt-semarang-garment-dengan-puk-spsi-pt-semarang-garment-2015---2017	1.0	1.44	1.0	2.0	1.3
perjanjian-kerja-bersama-antara-pt-visionland-semarang-dengan-serikat-pekerja-spsi-2014---2016	1.0	1.89	1.0	2.0	1.44
perjanjian-kerja-bersama-antara-pt-poong-in-indonesia-dengan-serikat-pekerja-pt-poong-in-2014---2016	1.0	1.44	1.0	1.0	1.0
perjanjian-kerja-bersama-antara-pt-sai-apparel-industries-dengan-serikat-pekerja-nasional-2015-2017	1.0	1.44	1.0	2.0	1.3
perjanjian-kerja-bersama-antara-pt-leetex-garment-indonesia-dengan-spsi-pt-leetex-garment-indonesia-2012---2014	1.0	1.89	5.0	2.0	2.66
perjanjian-kerja-bersama-antara-pt-beesco-indonesia-dengan-serikat-pekerja-pt-beesco-indonesia-2015-2017	1.0	1.44	5.0	1.0	2.22
perjanjian-kerja-bersama-antara-pt-yongjin-javasuka-garment-dengan-serikat-pekerja-tekstil-sandang-kulit-sp-tsk-spsi-2012---2014	1.0	2.33	1.0	2.0	1.57
perjanjian-kerja-bersama-antara-pt-star-camtex-dengan-serikat-pekerja-nasional-spn-2013---2016	1.0	1.89	1.0	2.0	1.44
perjanjian-kerja-bersama-antara-pt-kaho-indah-citra-garment-dengan-spn-pt-kaho-indah-citra-garment-2014---2016	1.0	1.0	5.0	2.0	2.39
perjanjian-kerja-bersama-pkb-antara-pt-c-site-texpia-dengan-sbsi-garteks-dan-spai-fspmi-2015	1.0	1.44	1.0	2.0	1.3
perjanjian-kerja-bersama-antara-pt-taitat-putra-rejeki-dengan-serikat-pekerja-nasional-spn-pt-taitat-putra-rejeki-2012--2014	1.0	2.33	5.0	2.0	2.79
perjanjian-kerja-bersama-antara-pt-dream-sentosa-indonesia-dengan-serikat-pekerja-tingkat-perusahaan-sptp-dsi-2013---2014	1.0	1.44	5.0	2.0	2.52
perjanjian-kerja-bersama-antara-pt-master-wovelindo-label-dengan-serikat-pekerja-nasional-spn-2012---2014	1.0	2.78	1.0	2.0	1.71
perjanjian-kerja-bersama-antara-pt-kemang-food-industries-dengan-fsb-kamiparho-ksbsi-pt-kemang-food-industries-2016---2017	1.0	1.89	1.0	2.0	1.44
perjanjian-kerja-bersama-antara-pt-tuntex-garment-dengan-sptp-dan-kspsi-2013---2015	1.0	2.33	1.0	2.0	1.57
perjanjian-kerja-bersama-antara-pt-tun-yun-garment-dengan-pk-sbsi-1992---2012-2014	1.0	1.44	1.0	2.0	1.3
perjanjian-kerja-bersama-antara-pt-sri-rejeki-isman-tbk-dengan-sptsk---spsi-pt-sri-rejeki-isman-tbk---2014-2016	1.0	1.44	5.0	1.0	2.22
perjanjian-kerja-bersama-antara-pt-trigoldenstar-wicesa-dengan-sp-tsi-spsi-pt-trigoldenstar-wicesa---2012-2014	1.0	1.44	5.0	2.0	2.52
perjanjian-kerja-bersama-antara-pt-trimanunggal-komara-dengan-serikat-pekerja-nasional-spn-	1.0	1.44	1.0	2.0	1.3
perjanjian-kerja-bersama-antara-pt-shinwon-ebenezer-dengan-sp-tsi-spsi-pt-shinwon-ebenezer	1.0	1.89	5.0	2.0	2.66
perjanjian-kerja-bersama-antara-pt-sg-wicus-indonesia-dengan-sp-tsi-spsi-pt-sg-wicus-indonesia	1.0	2.33	1.0	2.0	1.57
perjanjian-kerja-bersama-antara-pt-sandang-mutiara-cemerlang-dengan-sp-tsi-spsi-pt-sandang-mutiara-cemerlang	1.0	1.44	1.0	2.0	1.3
perjanjian-kerja-bersama-antara-pt-greentex-indonesia-utama-ii-dengan-spm-giuii	1.0	1.0	5.0	2.0	2.39
perjanjian-kerja-bersama-antara-pt-notos-dengan-serikat-pekerja-tingkat-perusahaan-pt-notos-21---2015-2017	1.0	1.89	5.0	1.0	2.35
perjanjian-kerja-bersama-antara-pt-pertiwi-indomas-dengan-spn-unit-kerja-pt-pertiwi-indo-mas---2015-2017	1.0	1.44	1.0	2.0	1.3
perjanjian-kerja-bersama-antara-pt-lojitex-dengan-serikat-pekerja-nasional-dan-serikat-buruh-sejahtera-indonesia---2014-2015	1.0	1.44	1.0	2.0	1.3
perjanjian-kerja-bersama-antara-pt-spinmil-indah-industry-dengan-puk-spsi-dan-pk-garteks-sbsi-2014---2016	1.0	1.0	1.0	2.0	1.17
perjanjian-kerja-bersama-multi-perusahaan-antara-gabungan-pengusaha-perkebunan-jabar-banten-dengan-serikat-pekerja-pertanian-dan-perkebunan-serikat-pekerja-seluruh-indonesia-2015---2017	1.0	1.44	1.0	1.0	1.0
perjanjian-kerja-bersama-antara-pt-parigi-laju-sakti-dengan-pengurus-komisariat-serikat-buruh-sejahtera-indonesia---2015-2017	1.0	1.0	1.0	2.0	1.17
perjanjian-kerja-bersama-antara-pt-parkland-world-indonesia-2-dengan-psp-spn-dan-pk-fsbsi-pt-parkland-world-indonesia---2016-2018	1.0	1.44	5.0	2.0	2.52
perjanjian-kerja-bersama-multi-perusahaan-garmen-subang---2017	1.0	1.44	1.0	2.0	1.3
perjanjian-kerja-bersama-antara-pt-victory-ching-luh-dengan-pimpinan-unit-kerja-federasi---serikat-pekerja-tekstil-sandang-dan-kulit-serikat-pekerja-seluruh-indonesia-puk-f-sp-tsk-spsi-dan-pimpinan-tingkat-perusahaan-serikat-buruh-garment-tekstil-dan-sepatu-gabungan-serikat-buruh-indonesia-ptp-sbgts-gsbi-	1.0	1.44	5.0	2.0	2.52
perjanjian-kerja-bersama-antara-pt-ricky-putra-globalindo-tbk-dengan-serikat-pekerja-nasional-spn-dan-serikat-buruh-fsb-garteks---2016	1.0	1.44	1.0	2.0	1.3
perjanjian-kerja-bersama-antara-pt-harindotama-mandiri-dengan-sp-tsk-spsi-pt-harindotama-mandiri---2016-2018	1.0	1.44	1.0	2.0	1.3
perjanjian-kerja-bersama-antara-pt-spinmill-indah-industry-dengan-serikat-pekerja-seluruh-indonesia-spsi-pt-spinmill-indah-industry---2017-2019	1.0	1.0	1.0	2.0	1.17
perjanjian-kerja-bersama-antara-pt-formosa-bag-indonesia-dengan-serikat-pekerja-mandiri-pt-formosa-bag-indonesia-2017-2019	1.0	1.44	5.0	2.0	2.52
perjanjian-kerja-bersama-antara-pt-citra-abadi-sejati-dengan-pimpinan-serikat-pekerja-serikat-pekerja-nasional-spn-unit-kerja-pt-citra-abadi-sejati-bogor---2018-2020	1.0	1.44	5.0	3.0	2.82
perjanjian-kerja-bersama-pkb-antara-pihak-pengusaha-pt-dada-indonesia-dengan-pengurus-serikat-pekerja-pt-dada-indonesia---2016-2018	1.0	2.33	1.0	1.0	1.27
pt-bees-footwear-inc---2016	1.0	2.33	1.0	2.0	1.57
perjanjian-kerja-bersama-antara-pt-dong-a-decal-dengan-pengurus-komisariat-sbsi-1992-pt-dong-a-decal-2017-2019	1.0	1.44	1.0	2.0	1.3
perjanjian-kerja-bersama-antara-pt-viana-unggul-garmindo-dengan-serikat-pekerja-pk-f-hukatan-sbsi-pt-viana-unggul-garmindo-2018-2020	1.0	2.33	1.0	2.0	1.57
perjanjian-kerja-bersama-pkb-antara-pt-doosan-sinar-sukabumi-dengan-sptp-pt-doosan-sinar-sukabumi---2016-2018	1.0	2.33	5.0	2.0	2.79
perjanjian-kerja-bersama-antara-pt-hyun-dong-indonesia-dengan-serikat-pekerja-tekstil-sandang-dan-kulit-spsi-pt-hyun-dong-indonesia---2016-2018	1.0	2.33	1.0	2.0	1.57
perjanjian-kerja-bersama-antara-pt-c-site-texpia-dengan-serikat-pekerja-sbsi-garteks-dan-spai-fspmi-pt-c-site-texpia---2018-2020	1.0	1.44	1.0	2.0	1.3
perjanjian-kerja-bersama-antara-pt-buana-samudra-lestari-dengan-serikat-pekerja-spmbslk-pt-buana-samudra-lestari---2016-2018	1.0	2.33	1.0	1.0	1.27
perjanjian-kerja-bersama-antara-pt-gistex-garmen-indonesia-dengan-serikat-pekerja-seluruh-indonesia-dan-serikat-pekerja-nasional-pt-gistex-garmen-indonesia---2016-2018	1.0	1.44	1.0	3.0	1.61
pt-greentex-indonesia-utama-ii---2017-2019	1.0	2.78	5.0	3.0	3.23
perjanjian-kerja-bersama-pkb-antara-pengusaha-pt-dewhirst-dengan-konfederasi-serikat-pekerja-nasional-kspn-pt-dewhirst-dan-serikat-pekerja-dewirst-indonesia-spdi-pt-dewhirst-2016-2018	1.0	2.78	5.0	3.0	3.23
perjanjian-kerja-bersama-antara-puk-sptp-pt-doosan-jaya-sukabumi-dengan-manajemen-pt-doosan-jaya-sukabumi---2017-2019	1.0	2.33	5.0	3.0	3.09
perjanjian-kerja-bersama-pkb-pimpinan-perusahaan-pt-kiho-bali-korin-dengan-wakil-pekerja-pt-kiho-bali-korin-2016-2018	1.0	1.89	1.0	3.0	1.74
perjanjian-kerja-bersama-antara-pt-semarang-garment-dan-serikat-pekerja-tekstil-sandang-kulit-serikat-pekerja-seluruh-indonesia-pt-semarang-garment---2017-2019	1.0	1.44	1.0	2.0	1.3
perjanjian-kerja-bersama-antara-pt-sung-won-indonesia-dengan-serikat-pekerja-tekstil-sandang-dan-kulit-serikat-pekerja-seluruh-indonesia-sp-tsk---spsi-unit-kerja-pt-sung-won-indonesia---2018-2020	1.0	2.78	5.0	1.0	2.62
perjanjian-kerja-bersama-pt-lemoto-dengan-puk-serikat-pekerja-seluruh-indonesia-pt-lemoto-2018-2020	1.0	1.44	1.0	2.0	1.3
perjanjian-kerja-bersama-antara-manajemen-pt-kwanglim-yhi-dengan-serikat-pekerja-tingkat-perusahaan-pt-kwanglim-yhi---2018-2020	1.0	2.33	1.0	2.0	1.57
perjanjian-kerja-bersama-antara-pt-leading-garment-industries-dengan-gabungan-organisasi-buruh-seluruh-indonesia-pt-leading-garment-industries---2016-2018	1.0	2.33	1.0	2.0	1.57
perjanjian-kerja-bersama-antara-pt-notos-dengan-serikat-pekerja-tingkat-perusahaan-sptp-notos-21---2017-2019-	1.0	1.44	5.0	1.0	2.22
perjanjian-kerja-bersama-antara-pt-pan-rama-vista-garment-ind-ltd-dengan-serikat-pekerja-pt-pan-rama---2017-2019	1.0	1.89	1.0	1.0	1.14
perjanjian-kerja-bersama-pkb-antara-pt-citra-unggul-perkasa-garment-dengan-serikat-pekerja-pk-f-hukatan-ksbsi-pt-citra-unggul-perkasa-garment---2017-2019	1.0	2.33	1.0	2.0	1.57
perjanjian-kerja-bersama-antara-pt-sri-rejeki-isman-tbk-dengan-pengurus-unit-kerja-sptsk---spsi-pt-sri-rejeki-isman-tbk---2017-2019	1.0	2.78	5.0	1.0	2.62
perjanjian-kerja-bersama-antara-pt-pantjatunggal-knitting-mill-dengan-konfederasi-serikat-pekerja-nasional-pt-pantjatunggal-knitting-mill-periode-2014-2016-	1.0	1.44	5.0	2.0	2.52
perjanjian-kerja-bersama-antara-pt-sandang-asia-maju-abadi-dengan-ikatan-pekerja-sandang-pt-sandang-asia-maju-abadi-periode-2017-2019-	1.0	1.44	1.0	1.0	1.0
perjanjian-kerja-bersama-antara-pt-visionland-semarang-dengan-pimpinan-unit-kerja-sptsk-spsi-pt-visionland-periode-tahun-2017-2019-	1.0	1.44	1.0	2.0	1.3
perjanjian-kerja-bersama-pt-yongjin-javasuka-garment-factory-ii-unit-1-dan-2-dengan-serikat-pekerja-seluruh-indonesia---serikat-pekerja-sandang-tekstil-kulit-pt-yongjin-javasuka-garment-factory-ii-2018-2020-	1.0	1.44	1.0	2.0	1.3
perjanjian-kerja-bersama-antara-pt-eagle-glove-indonesia-dengan-serikat-pekerja-nasional-2016-2018-	1.0	2.33	1.0	3.0	1.88
perjanjian-kerja-bersama-antara-pt-tuntex-garmen-indonesia-cikupa-ii-dengan-serikat-pekerja-sptsk-spsi-pt-tuntex-garment-indonesia-cikupa-ii---2016-2018	1.0	2.33	1.0	2.0	1.57
perjanjian-kerja-bersama-antara-pt-golden-flower-dengan-serikat-pekerja-nasional-pt-golden-flower-2016-2018-	1.0	1.44	1.0	1.0	1.0
perjanjian-kerja-bersama-antara-pt-mulia-cemerlang-abadi-multi-industri-dengan-pimpinan-unit-kerja-serikat-pekerja-pt-mulia-cemerlang-abadi-multi-industri-2017-2019-	1.0	1.44	1.0	1.0	1.0
